Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Chen, Q; Toorop, MMA; Visser, C; Van Der Meer, FJM; Nierman, MC; Goede, L; Ten Cate, H; Kruip, MJHA; Lijfering, WM; Cannegieter, SC; ",Excess mortality in a population of vitamin k antagonist users during the first wave of the COVID-19 pandemic in thenetherlands compared with excess mortality in the general dutch population,Research and Practice in Thrombosis and Haemostasis,,,,2021,
"Altintas, Emre; ",Factors Affecting Excess Mortality Rate of COVID-19 Pandemic: A Study on the High-Income and Middle-Income Countries,,,,,2022,"Université de Liège, Liège, Belgique"
"Parkes, Brandon; Stafoggia, Massimo; Fecht, Daniela; Davies, Bethan; Bonander, Carl; de’Donato, Francesca; Michelozzi, Paula; Piel, Frédéric; Strömberg, Ulf; Blangiardo, Marta; ","Community factors and excess mortality in the COVID-19 pandemic in England, Italy and Sweden (preprint)",,,,,2022,
"Kepp, Kasper Planeta; Bjork, Jonas; Kontis, Vasilis; Parks, Robbie; Baek, Kristoffer; Emilsson, Louise; Lallukka, Tea; ",Estimates of excess mortality for the five Nordic countries during the Covid-19 pandemic 2020-2021 (preprint),,,,,2022,
"De Nicola, Giacomo; Kauermann, Göran; ",Estimating excess mortality in high-income countries during the COVID-19 pandemic (preprint),,,,,2023,
"Stattin, P; Styrke, J; Loeb, S; Garmo, H; Gedeborg, R; ",Androgen deprivation therapy and excess mortality during the COVID-19 pandemic,European Urology,79,,S1184,2021,Elsevier
"MSEMBURI, WILLIAM; WAKEFIELD, JON; ","SUPPLEMENTARY MATERIALS FOR “ESTIMATING GLOBAL AND COUNTRY-SPECIFIC EXCESS MORTALITY DURING THE COVID-19 PANDEMIC” BY VICTORIA KNUTSON, SERGE ALESHIN-GUENDEL, ARIEL KARLINSKY 2",,,,,,
"Canadian Medical Association; ","Correction to “Excess mortality, COVID-19 and health care systems in Canada”",CMAJ,194,24,E849-E849,2022,Can Med Assoc
"Knutson, Victoria; Aleshin-Guendel, Serge; Karlinsky, Ariel; Msemburi, William; Wakefield, Jon; ",Extract from “Estimating Country-Specific Excess Mortality During the COVID-19 Pandemic”,,,,,,
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; ","Excess Mortality in Suicide caused by COVID-19 in Japan: Update up to April, 2022",,,,,,"Jxiv, JST プレプリントサーバ"
"Venturelli, Francesco; Mancuso, Pamela; Vicentini, Massimo; Ottone, Marta; Storchi, Cinzia; Roncaglia, Francesca; Bisaccia, Eufemia; Ferrarini, Chiara; Pezzotti, Patrizio; Rossi, Paolo Giorgi; ","Heat wave, COVID-19, and mortality excess in the 2022 summer: a cohort study on data from Italian surveillances",medRxiv,,,2022.12. 12.22283336,2022,Cold Spring Harbor Laboratory Press
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; Sugawara, Tamie; ",Excess Mortality in Suicide caused by COVID-19 in Japan: Update up to the end of 2021,,,,,,
"Nielsen, Jens; Nørgaard, Sarah; Lanzieri, Giampaolo; Vestergaard, Lasse; Moelbak, Kaare; ",Sex-differences in COVID-19 associated excess mortality is not exceptional for the COVID-19 pandemic. A population based study from 27 European countries,,,,,2021,
"Vieira Sr, Andre; Peixoto Sr, Vasco Ricoca; Aguiar Sr, Pedro; Abrantes, Alexandre; ",Rapid estimation of excess mortality in times of COVID-19 in Portugal-Beyond reported deaths (preprint),,,,,2020,
"Lundstrom, Eric W; Groth, Caroline P; Harrison, James E; Hendricks, Brian; Smith, Gordon S; ",Excess US firearm mortality during the COVID-19 pandemic stratified by intent and urbanization,JAMA network open,6,7,e2323392-e2323392,2023,American Medical Association
"REd, Silva; Novaes, MRCG; De Oliveira, C; Guilhem, DB; ",The impact of social cohesion and risk communication on excess mortality due to COVID-19 in 213 countries: a retrospective analysis,,,,,2023,
"Blangiardo, Marta; Cameletti, Michela; Pirani, Monica; Corsetti, Gianni; Battaglini, Marco; Baio, Gianluca; ",Estimating weekly excess mortality at subnational level in Italy during the COVID-19 pandemic (preprint),,,,,2020,
"Bhatia, Rajiv; ",Quantitative Estimation of Covid-19 Related Unemployment On Suicide and Excess Mortality in the United States,,,,,2020,
"ŠEGOTA, Sandi BARESSI; BLAGOJEVIĆ, Anđela; ŠUŠTERŠIČ, Tijana; MUSULIN, Jelena; ŠTIFANIĆ, Daniel; GLUČINA, Matko; LORENCIN, Ivan; ANĐELIĆ, Nikola; FILIPOVIĆ, Nenad; CAR, Zlatan; ",Country-level factor influence on COVID-19 excess mortality rates determined using Random Forest algorithm,Ri-STEM-2022,,,16,,
"Glynn, Judith R; Fielding, Katherine; Shakespeare, Tom; Campbell, Oona; ",Covid-19: excess all cause mortality in domiciliary care,bmj,370,,,2020,British Medical Journal Publishing Group
"Signorelli, Carlo; Odone, Anna; Gianfredi, Vincenza; Bossi, Eleonora; Bucci, Daria; Oradini-Alacreu, Aurea; Frascella, Beatrice; Capraro, Michele; Chiappa, Federica; Blandi, Lorenzo; ",The spread of COVID-19 in six western metropolitan regions: a false myth on the excess of mortality in Lombardy and the defense of the city of Milan,Acta Bio Medica: Atenei Parmensis,91,2,23,2020,Mattioli 1885
"AlirezaMolaei, Mohammad Gholami Fesharaki; ",Geographic Distribution of Excess Mortality Rate duo to COVID-19 in Iranian Population: An Ecological Study,,,,,,"Department of Biostatistics, Faculty of Medicine, Tarbiat Modares University"
"Mandomando, I; Sheppard, R; Massinga, A; Ernesto, R; De Jesus, A; Messa, A; Nhacolo, A; Sacoor, C; Walker, P; Mayor, A; ",Excess of Mortality in Older People during the Covid-19 Pandemic in Mozambique,Topics in Antiviral Medicine,,,356-357,2023,
"Kurita, Junko; Sugawara, Tamie; Ohkusa, Yasushi; ","No Excess Mortality of COVID-19 in Japan until April, 2020",,,,,2020,
"Fonarow, GC; Hernandez, AF; DeVore, AD; Bocchi, E; Böhm, M; Brunner-La Rocca, HP; Choi, DJ; Chopra, V; Chuquiure-Valenzuela, E; Giannetti, N; ",Social Vulnerability and Excess Mortality in the COVID-19 Era The COVID-19 pandemic has resulted in a significant increase in mor,Heart Fail,12,,e005171,2019,
"Lloyd-Sherlock, Peter; Geffen, Leon; Kelly, Gabrielle; Sempe, Lucas; ","Data update: Older people in South Africa and excess mortality during the COVID-19 pandemic Jun 18, 2021| All posts, Country reports",,,,,,
"Alkema, Leontine; Feehan, Dennis; Gage, Anastasia; Gupta, Aashish; Helleringer, Stéphane; Moultrie, Tom; Reniers, Georges; Ouagadougou, Ouagadougou; Timæus, Ian M; ",Measuring excess mortality during the COVID-19 pandemic in low-and lower-middle income countries: the need for mobile phone surveys1,,,,,,
"Konstantinoudis, Garyfallos; Cameletti, Michela; Gomez-Rubio, Virgilio; Gomez, Inmaculada Leon; Pirani, Monica; Baio, Gianluca; Larrauri, Amparo; Riou, Julien; Egger, Matthias; Vineis, Paolo; ",Regional excess mortality during the 2020 COVID-19 pandemic: a study of five European countries (preprint),,,,,2021,
"Brainard, Julii; Rushton, Steve; Winters, Tim; Hunter, Paul R; ","Spatial Risk Factors for Pillar 1 COVID‐19 Excess Cases and Mortality in Rural Eastern England, UK",Risk Analysis,42,7,1571-1584,2022,Wiley Online Library
"Equiza-Goñi, Juan; ",Corrections to daily excess mortality estimates in Spain during the COVID-19 pandemic.,Revista Espanola de Salud Publica,95,,e202104048-e202104048,2021,
"Martenies, Sheena E; Bol, Kirk; Wilson, Ander; Hoskovec, Lauren; Burket, Tori L; Podewils, Laura; Magzamen, Sheryl; ",Excess mortality in the Colorado Front Range during the COVID-19 pandemic and a concurrent intense wildfire season,ISEE Conference Abstracts,2021,1,,2021,
"Grimm, Heiner; ",Covid-19 Caused Lifetime Loss Estimation From Excess Mortality Data,,,,,,
"Xavier, Mariana Otero; Amouzou, Agbessi; Maïga, Abdoulaye; Akseer, Nadia; Huicho, Luis; Matijasevich, Alicia; ","The impact of the COVID-19 pandemic on trends in stillbirths, under-5 and maternal mortality in Brazil: Excess deaths and regional inequalities",Journal of global health,13,,,2023,International Society for Global Health
"Leeser, Sarah; ",Excess mortality and change in life expectancy due to COVID-19 in Norway using ARIMA models,,,,,2023,
"Pérez Bedoya, Juan Pablo; Ruiz Galvis, Lina Marcela; Herrera Franco, Elizabeth; Taparcua Cardona, Flor Enid; Mendoza Cardozo, Oscar Ignacio; Pérez Aguirre, Carlos Andrés; Angarita Suárez, Julián Andrés; Pérez Moreno, Karen Gisela; Garcés Monsalve, Libert; Barengo, Noël Christopher; ",Excess mortality due to diabetes during the covid-19 pandemic in colombia. an ecological study. an analysis of the refreca project,,,,,2023,Epidemiología
"Ferrara, Pietro; ",Magnitude and time-course of excess mortality during COVID-19 outbreak: population-based empirical evidence from highly impacted provinces in northern Italy,,,,,,
"Shabalina, Svetlana A; Matveeva, Olga V; ",Comparison of Vaccination and Booster Rates and Their Impact on Excess Mortality During the COVID-19 Pandemic in European Countries,Frontiers in Immunology,14,,1151311,,Frontiers
"Islam, Nazrul; García López, Fernando J; Jdanov, Dmitri A; Royo-Bordonada, Miguel Ángel; Khunti, Kamlesh; Lewington, Sarah; Lacey, Ben; White, Martin; Morris, Eva JA; Zunzunegui, María Victoria; ","Unequal impact of the Covid-19 pandemic on excess deaths, life expectancy, and premature mortality across Spanish regions in 2020 and 2021",medRxiv,,,2021.11. 29.21266617,2021,Cold Spring Harbor Laboratory Press
"Limaye, Neha; Ninesling, Brennan; Marcelin, Frantzso; Nolan, Cody; Sobba, Walter; Hing, Matthew; Ptaszek, Emily; Léandre, Fernet; Palazuelos, Daniel; ","COVID-19 Pandemic Response in a Migrant Farmworker Community: Excess Mortality, Testing Access and Contact Tracing in Immokalee, Florida",,,,,2022,Ubiquity Press
"GAe, Silva; Jardim, B; CVBd, Santos; ",EXCESS MORTALITY IN BRAZIL IN TIMES OF COVID-19,,,,,2020,
"LORENCIN, Ivan; CAR, Zlatan; ",Country-level factor influence on COVID-19 excess mortality rates determined using Random Forest algorithm,,,,,,
"Eujene, Jung; Sun, Ro Young; Ho, Ryu Hyun; Do, Shin Sang; Sungwoo, Moon; ",Interaction Effects between COVID-19 Outbreak and Community Income Levels on Excess Mortality among Patients Visiting Emergency Departments,Journal of Korean Medical Science,36,13,1-11,2021,
"Silva, Eliud; Islas-Camargo, Alejandro; Guerrero, Víctor M; ",Preliminary excess mortality measured through temporary life expectancy in Mexico after the Covid-19 pandemic in 2020,Papeles de población,28,113,13-69,2022,
"Thomas, Kali; Zhang, Wenhan; Dosa, David; Carder, Paula; Sloane, Philip; Zimmerman, Sheryl; ",Excess Mortality Attributable to COVID-19 Among Assisted Living Residents,Innovation in Aging,5,Suppl 1,58,2021,Oxford University Press
"Tatar, Moosa; Habibdoust, Amir; Wilson, Fernando A; ",Excess Deaths Reveal the Substantial Impact of COVID-19 Pandemic on Mortality in the State of Florida,Am J Public Health,111,7,1-12,2021,
"Cusack, Denis A; ","COVID-19 Pandemic: Report of Coroner's Inquiries into Epidemiology and Total and Excess Mortality in the Community, Hospital and Nursing Home and Residential Care in the District of Kildare for the Year March 2020 to February 2021",,,,,2021,"Coroner's Office, District of Kildare"
"Warsame, Abdihamid; Bashiir, Farah; Freemantle, Terri; Williams, Chris; Vazquez, Yolanda; Reeve, Chris; Aweis, Ahmed; Ahmed, Mohamed; Checchi, Francesco; Dalmar, Abdirisak; ","Excess mortality during the COVID-19 pandemic: a geospatial and statistical analysis in Mogadishu, Somalia (preprint)",,,,,2021,
"Díaz Zepeda, Hirvin Azael; ",COVID-19 excess mortality and the cost-effectiveness of treatments options in COVID-19 hospitlized patients,,,,,2021,El Autor
"Muellbauer, John; ",Measuring excess mortality: the case of England during the Covid-19 Pandemic Summary: Why is it important to examine excess mortality data?,,,,,2020,OXMS: Oxford Martin School
"Kontopantelis, Evangelos; Mamas, Mamas A; Deanfield, John; Asaria, Miqdad; Doran, Tim; ",Excess mortality in England and Wales during the first wave of the COVID-19 pandemic (preprint),,,,,2020,
"Gonzalez-Farias, Graciela; Márquez-Urbina, José Ulises; Castillo-Casanova, Román; Pineda-Antunez, Carlos; Medina-Cetina, Zenon; Pompelli, Gregory; Cochran, Matt; Olivares, Miriam; Perez-Patron, Maria Jose; ",Actionable Information-Research Briefs-6-Estimation of excess mortality associated with COVID-19 for Mexico and the US,,,,,2021,Stochastic Geomechanics Laboratory
"Chanda, Stephen; Hamukale, Amos; Mr, Warren Malambo; Mr, Muzala Kapina; ","Excess mortality among community deaths during the COVID-19 pandemic Lusaka, Zambia 2021",APHA 2022 Annual Meeting and Expo,,,,2022,APHA
"Rousson, Valentin; Chaouch, Aziz; Bochud, Murielle; ",Analysis of Excess Mortality in Switzerland in 2020 before the 2 nd Wave of COVID-19,Revue Medicale Suisse,17,730,518-520,2021,
"Entrup, Parker; Brodsky, Leon; Trimble, Candice; Garcia, Stephanie; Mohamed, Nasra; Deaner, Megan; Martell, JP; Teater, Julie; Jordan, Ayana; Tetrault, Jeanette M; ","Years of life lost due to deaths of despair and COVID-19 in the United States in 2020: patterns of excess mortality by gender, race and ethnicity",International journal for equity in health,22,1,161,2023,Springer
"Elyazar, Iqbal RF; Surendra, Henry; Ekawati, Lenny; Djaafara, Bimandra A; Nurhasim, Ahmad; Hidayana, Irma; Widyastuti, Widyastuti; Oktavia, Dwi; Adrian, Verry; Salama, Ngabila; ","Excess mortality during the first ten months of COVID-19 epidemic at Jakarta, Indonesia (preprint)",,,,,2020,
"NAKAMURA, TAKASHI; ",A MATHEMATICAL MODEL FOR THE PATTERN OF COVID-19 POST-VACCINATION MORTALITY AND EXCESS MORTALITY,,,,,,
"McCoy, Rozalina G; Mullan, Aidan F; Jeffery, Molly M; Bucks, Colin M; Clements, Casey M; Campbell, Ronna L; ",Excess All-Cause and Cause-Specific Mortality Among People with Diabetes During the COVID-19 Pandemic in Minnesota: Population-Based Study,Journal of general internal medicine,37,12,3228-3231,2022,Springer
"Jung, Eujene; Lee, Sun Young; ",P147 Interaction effects between covid-19 outbreak and community income levels on excess mortality among patients visiting emergency department,Resuscitation,175,,S90,2022,Elsevier
"McGovern, Andrew P; Thomas, Nicholas J; Vollmer, Sebastian J; Hattersley, Bilal A Mateen; Dennis, John M; ",Supplementary Material for: The disproportionate excess mortality risk of COVID-19 in younger people with diabetes warrants vaccination prioritisation,,,,,,
"Herby, Jonas; ",Mortality Displacement: Vulnerable'Dry Tinder'Elders in Sweden Prior to COVID-19 May Partially Account for Excess Deaths,Available at SSRN 3702595,,,,2020,
"Kurita, J; Sugawara, T; Ohkusa, Y; ","Huge Excess Mortality due to the delta strain of COVID-19 in Japan in August and September, 2021",,,,,2020,
"Verbeeck, Johan; Faes, Christel; Neyens, Thomas; Hens, Niel; Verbeke, Geert; Deboosere, Patrick; Molenberghs, Geert; ",A linear Mixed Model to Estimate COVID-19-induced Excess Mortality (preprint),,,,,2021,
"Nicotra, Eraldo Francesco; Pili, Roberto; Gaviano, Luca; Carrogu, Gian Pietro; Berti, Roberta; Grassi, Paola; Petretto, Donatella Rita; ",COVID-19 and the excess of mortality in Italy from January to April 2020: What are the risks for oldest old?,Journal of Public Health Research,11,1,jphr. 2021.2399,2022,"SAGE Publications Sage UK: London, England"
"Karnik, Harshada; Leider, Jonathon; Chen, Yea-Hung; Wrigley-Field, Elizabeth; Zabel, Erik; ",Who paid the price? Did essential workers in Minnesota experience higher excess mortality during the COVID-19 pandemic?,APHA 2022 Annual Meeting and Expo,,,,2022,APHA
